0,1,2,3,4,5,6
Viborg,"[0, 48, 2174, 1552, 1720, 2536, 2857, 5611]","[429, 828, 3325, 1669, 1918, 5811, 7914, 8153]","[2010, 2422, 2418, 2034, 2215, 2831, 721, 258]","[4761, 4926, 1467, 3557, 4392, 1679, 201, 39]","[2533, 2997, 476, 1415, 1974, 510, 64, 27]","[938, 1112, 394, 553, 609, 185, 77, 28]"
Randers,"[1, 10, 2700, 1791, 2114, 3080, 3192, 6308]","[657, 972, 4460, 2058, 2390, 5846, 7158, 8081]","[2134, 2431, 2478, 2115, 2418, 2690, 568, 222]","[4600, 4648, 1439, 3345, 4250, 1542, 172, 64]","[2042, 2501, 453, 1140, 1717, 392, 68, 24]","[705, 825, 325, 446, 433, 198, 67, 34]"
Fredensborg,"[0, 2, 305, 338, 506, 1013, 1263, 2607]","[178, 408, 722, 558, 811, 2316, 3164, 3907]","[893, 1152, 900, 962, 1093, 1453, 457, 235]","[2103, 2199, 628, 1351, 2077, 1024, 163, 56]","[933, 1022, 326, 496, 759, 288, 47, 26]","[407, 425, 261, 323, 292, 184, 96, 47]"
Haderslev,"[0, 18, 1149, 886, 988, 1659, 1869, 3694]","[256, 483, 1826, 940, 1213, 3713, 4874, 5337]","[1036, 1353, 1366, 1127, 1302, 1661, 428, 166]","[2297, 2535, 829, 1755, 2168, 840, 118, 25]","[1258, 1519, 333, 720, 1001, 264, 41, 13]","[532, 693, 232, 335, 333, 132, 51, 23]"
Slagelse,"[1, 10, 2091, 1188, 1579, 2476, 2678, 5384]","[489, 776, 3472, 1463, 1881, 4841, 6053, 6745]","[1748, 2036, 2170, 1850, 2101, 2281, 657, 292]","[3260, 3284, 1284, 2442, 2921, 1168, 190, 63]","[1442, 1744, 527, 860, 1135, 400, 82, 19]","[731, 897, 457, 493, 556, 282, 109, 30]"
Herning,"[0, 21, 2431, 1402, 1570, 2206, 2365, 5043]","[384, 659, 3694, 1542, 1726, 5314, 6951, 7303]","[1825, 2009, 2257, 2016, 2025, 2435, 583, 192]","[4441, 4435, 1469, 3203, 4022, 1629, 146, 38]","[2469, 2745, 548, 1357, 1900, 449, 55, 18]","[838, 1040, 490, 473, 606, 234, 73, 22]"
Hørsholm,"[0, 1, 236, 171, 288, 595, 740, 2286]","[101, 286, 434, 293, 427, 1333, 1962, 2985]","[434, 693, 392, 414, 599, 902, 243, 109]","[1157, 1463, 268, 693, 1316, 679, 68, 33]","[539, 646, 125, 219, 505, 161, 24, 16]","[232, 253, 107, 110, 173, 76, 23, 19]"
Odder,"[0, 3, 258, 254, 321, 539, 654, 1440]","[92, 222, 437, 317, 473, 1496, 2048, 2238]","[437, 604, 477, 482, 521, 721, 189, 82]","[1150, 1191, 382, 822, 1095, 489, 79, 22]","[528, 651, 113, 258, 461, 124, 27, 19]","[187, 288, 149, 128, 147, 98, 31, 23]"
Frederikssund,"[0, 5, 389, 372, 594, 1082, 1249, 3053]","[212, 460, 870, 556, 930, 2995, 3506, 4346]","[835, 1307, 1039, 924, 1286, 1716, 619, 307]","[1749, 2254, 770, 1290, 2059, 1065, 217, 97]","[973, 1127, 350, 575, 865, 345, 107, 59]","[507, 564, 335, 327, 406, 226, 121, 64]"
Frederiksberg,"[2, 8, 2956, 2495, 3440, 3621, 4254, 3127]","[737, 1219, 5175, 2757, 4213, 4412, 4325, 1310]","[3313, 2187, 4726, 2702, 2281, 695, 263, 57]","[4854, 3262, 3406, 3933, 1405, 194, 84, 16]","[1660, 1475, 878, 1279, 350, 83, 29, 8]","[583, 506, 456, 524, 216, 88, 46, 7]"
Fanø,"[0, 0, 13, 23, 58, 97, 163, 366]","[9, 26, 36, 32, 69, 203, 433, 468]","[50, 87, 55, 51, 78, 103, 44, 9]","[133, 158, 38, 91, 123, 67, 7, 3]","[56, 92, 9, 29, 53, 14, 6, 1]","[40, 31, 6, 17, 24, 7, 5, 2]"
Kerteminde,"[2, 5, 241, 230, 353, 670, 737, 1790]","[113, 213, 501, 355, 538, 1790, 2188, 2587]","[487, 656, 555, 522, 659, 792, 170, 64]","[1065, 1150, 366, 814, 1001, 397, 47, 16]","[446, 524, 117, 240, 357, 89, 31, 7]","[188, 201, 115, 121, 122, 65, 15, 12]"
Glostrup,"[0, 0, 587, 473, 505, 751, 677, 1585]","[129, 245, 1016, 500, 507, 1239, 1362, 1548]","[607, 585, 645, 696, 625, 636, 145, 55]","[1147, 935, 357, 858, 1027, 329, 66, 26]","[487, 461, 179, 322, 349, 118, 28, 8]","[263, 220, 172, 247, 191, 98, 35, 20]"
Vesthimmerlands,"[1, 13, 542, 487, 642, 1075, 1178, 2598]","[182, 304, 1054, 594, 772, 2556, 3344, 3604]","[694, 912, 842, 733, 857, 1087, 281, 145]","[1597, 1599, 536, 1296, 1337, 561, 92, 35]","[876, 1008, 250, 494, 652, 158, 32, 2]","[350, 462, 176, 227, 204, 81, 24, 4]"
Hvidovre,"[0, 7, 1535, 826, 843, 1369, 1475, 3150]","[358, 599, 1943, 1168, 1113, 2685, 3105, 3209]","[1385, 1365, 1337, 1567, 1463, 1526, 502, 177]","[2987, 2475, 922, 2208, 2601, 913, 186, 64]","[1326, 1178, 427, 773, 983, 274, 67, 40]","[613, 631, 553, 535, 470, 224, 105, 61]"
Gentofte,"[3, 18, 1057, 926, 1118, 2042, 2279, 5284]","[341, 790, 2118, 1259, 1262, 3516, 4625, 5561]","[1367, 2060, 1404, 1526, 1670, 2639, 836, 384]","[3608, 4004, 957, 2087, 3812, 2082, 307, 84]","[1987, 2417, 644, 798, 2007, 767, 88, 73]","[1037, 925, 800, 580, 915, 362, 114, 89]"
Roskilde,"[1, 10, 2686, 1138, 1288, 2233, 2344, 5235]","[407, 887, 3476, 1374, 1700, 5045, 5960, 6977]","[1744, 2311, 2105, 1894, 2225, 2916, 751, 360]","[4384, 4762, 1264, 3054, 4581, 1961, 235, 99]","[2050, 2352, 466, 1081, 1758, 558, 89, 55]","[674, 780, 535, 517, 624, 365, 168, 81]"
Samsø,"[0, 1, 19, 33, 63, 127, 242, 440]","[17, 21, 51, 52, 88, 278, 433, 478]","[54, 76, 57, 65, 66, 103, 35, 11]","[96, 107, 22, 62, 104, 50, 14, 4]","[65, 60, 14, 40, 40, 14, 0, 0]","[37, 32, 10, 26, 24, 12, 4, 2]"
Frederikshavn,"[1, 8, 1163, 896, 1048, 2010, 2100, 4857]","[297, 576, 1640, 949, 1434, 4591, 6016, 6672]","[1063, 1427, 1269, 1141, 1471, 1646, 420, 153]","[2388, 2505, 755, 1809, 2123, 823, 86, 29]","[1088, 1280, 227, 692, 797, 190, 32, 19]","[397, 496, 155, 228, 281, 104, 21, 6]"
Tønder,"[0, 9, 581, 506, 601, 1123, 1325, 2626]","[148, 292, 948, 533, 721, 2710, 3829, 3886]","[624, 854, 906, 656, 756, 1102, 335, 100]","[1532, 1393, 602, 1225, 1119, 531, 82, 19]","[926, 1135, 274, 528, 686, 197, 26, 11]","[431, 521, 178, 232, 217, 109, 36, 13]"
Holbæk,"[3, 19, 1033, 895, 1162, 1927, 2237, 4180]","[367, 777, 2069, 1241, 1718, 4454, 5712, 6091]","[1480, 1828, 1814, 1538, 1988, 2262, 708, 260]","[3106, 3497, 1230, 2349, 3057, 1395, 216, 110]","[1475, 1805, 519, 887, 1201, 440, 96, 48]","[804, 1070, 519, 559, 539, 322, 122, 71]"
Næstved,"[0, 16, 1710, 1241, 1524, 2439, 2696, 5365]","[499, 899, 3134, 1570, 2051, 5218, 6695, 6974]","[1821, 2342, 2072, 1927, 2379, 2522, 781, 321]","[3527, 3653, 1289, 2623, 3347, 1292, 209, 74]","[1522, 1814, 514, 931, 1231, 424, 102, 48]","[756, 997, 500, 555, 531, 304, 144, 78]"
Ikast-Brande,"[0, 16, 555, 605, 670, 1053, 1059, 2316]","[178, 375, 1198, 699, 866, 2578, 3429, 3581]","[901, 958, 1016, 1011, 1011, 1186, 288, 114]","[2119, 2099, 715, 1624, 1852, 688, 82, 25]","[1103, 1317, 238, 640, 896, 191, 26, 9]","[380, 497, 254, 257, 294, 112, 33, 20]"
Gladsaxe,"[0, 4, 2107, 1180, 1277, 1934, 2152, 4206]","[461, 780, 2947, 1601, 1324, 3235, 3962, 3881]","[1782, 1688, 1913, 2115, 1718, 2068, 572, 194]","[3827, 3405, 1211, 2695, 3371, 1370, 198, 54]","[1775, 1740, 507, 980, 1342, 381, 62, 39]","[669, 713, 413, 427, 459, 217, 72, 30]"
Køge,"[0, 4, 734, 542, 913, 1567, 1513, 3434]","[318, 676, 1923, 1045, 1342, 3673, 3998, 5258]","[1336, 1699, 1646, 1455, 1793, 2105, 522, 273]","[2954, 3253, 1136, 2225, 3057, 1262, 173, 91]","[1180, 1369, 476, 705, 1044, 351, 83, 41]","[626, 729, 566, 524, 543, 325, 161, 138]"
