sogn_idx,sogn,kommune,kommune_idx,landsdel,landsdel_idx,region,region_idx,land,land_idx
924,7296,Holbæk,39,Københavns omegn,2,Hovedstaden,1,Danmark,1
925,8243,Syddjurs,86,Vestjylland,9,Midtjylland,4,Danmark,1
926,8682,Morsø,61,Fyn,7,Syddanmark,3,Danmark,1
927,7272,Kalundborg,48,Københavns omegn,2,Hovedstaden,1,Danmark,1
928,7505,Næstved,65,Københavns omegn,2,Hovedstaden,1,Danmark,1
929,7496,Stevns,83,Københavns omegn,2,Hovedstaden,1,Danmark,1
930,8973,Haderslev,31,Nordjylland,11,Nordjylland,5,Danmark,1
931,7821,Assens,6,Østjylland,10,Midtjylland,4,Danmark,1
932,7730,Nyborg,64,Østjylland,10,Midtjylland,4,Danmark,1
933,7540,Køge,52,Byen København,1,Hovedstaden,1,Danmark,1
934,7391,Sorø,82,Københavns omegn,2,Hovedstaden,1,Danmark,1
935,7830,Middelfart,60,Østjylland,10,Midtjylland,4,Danmark,1
936,9179,Holbæk,39,Københavns omegn,2,Hovedstaden,1,Danmark,1
937,8693,Morsø,61,Fyn,7,Syddanmark,3,Danmark,1
938,7290,Holbæk,39,Københavns omegn,2,Hovedstaden,1,Danmark,1
939,7993,Silkeborg,77,Vestjylland,9,Midtjylland,4,Danmark,1
940,8051,Horsens,41,Vestjylland,9,Midtjylland,4,Danmark,1
941,8786,Ringkøbing-Skjern,71,Sydjylland,8,Syddanmark,3,Danmark,1
942,8308,Mariagerfjord,59,Fyn,7,Syddanmark,3,Danmark,1
943,8965,Haderslev,31,Nordjylland,11,Nordjylland,5,Danmark,1
944,7351,Slagelse,80,Københavns omegn,2,Hovedstaden,1,Danmark,1
945,7837,Middelfart,60,Østjylland,10,Midtjylland,4,Danmark,1
946,8640,Viborg,96,Sydjylland,8,Syddanmark,3,Danmark,1
947,8807,Herning,36,Sydjylland,8,Syddanmark,3,Danmark,1
948,8089,Odder,66,Vestjylland,9,Midtjylland,4,Danmark,1
949,7809,Assens,6,Østjylland,10,Midtjylland,4,Danmark,1
950,7734,Nyborg,64,Østjylland,10,Midtjylland,4,Danmark,1
951,9251,Nordfyns,63,Østjylland,10,Midtjylland,4,Danmark,1
952,8385,Aalborg,2,Fyn,7,Syddanmark,3,Danmark,1
953,8836,Holstebro,40,Sydjylland,8,Syddanmark,3,Danmark,1
954,8799,Herning,36,Sydjylland,8,Syddanmark,3,Danmark,1
955,7382,Faxe,18,Københavns omegn,2,Hovedstaden,1,Danmark,1
956,9157,Aalborg,2,Fyn,7,Syddanmark,3,Danmark,1
957,8441,Frederikshavn,22,Fyn,7,Syddanmark,3,Danmark,1
958,8267,Norddjurs,62,Vestjylland,9,Midtjylland,4,Danmark,1
959,9040,Tønder,90,Nordjylland,11,Nordjylland,5,Danmark,1
960,7699,Svendborg,85,Østjylland,10,Midtjylland,4,Danmark,1
961,9182,København,51,Nordsjælland,3,Hovedstaden,1,Danmark,1
962,8026,Silkeborg,77,Vestjylland,9,Midtjylland,4,Danmark,1
963,7679,Svendborg,85,Østjylland,10,Midtjylland,4,Danmark,1
964,7229,Sorø,82,Københavns omegn,2,Hovedstaden,1,Danmark,1
965,7723,Svendborg,85,Østjylland,10,Midtjylland,4,Danmark,1
966,8384,Aalborg,2,Fyn,7,Syddanmark,3,Danmark,1
967,7180,Lejre,54,Byen København,1,Hovedstaden,1,Danmark,1
968,8360,Vesthimmerlands,95,Fyn,7,Syddanmark,3,Danmark,1
969,9151,Randers,69,Vestjylland,9,Midtjylland,4,Danmark,1
970,8895,Vejen,93,Nordjylland,11,Nordjylland,5,Danmark,1
971,7729,Nyborg,64,Østjylland,10,Midtjylland,4,Danmark,1
972,7834,Middelfart,60,Østjylland,10,Midtjylland,4,Danmark,1
973,8722,Thisted,88,Fyn,7,Syddanmark,3,Danmark,1
974,7546,Stevns,83,Københavns omegn,2,Hovedstaden,1,Danmark,1
975,9074,Herlev,35,Bornholm,4,Hovedstaden,1,Danmark,1
976,8374,Aalborg,2,Fyn,7,Syddanmark,3,Danmark,1
977,7211,Roskilde,73,Byen København,1,Hovedstaden,1,Danmark,1
978,8468,Hjørring,38,Fyn,7,Syddanmark,3,Danmark,1
979,9096,Aarhus,3,Vestjylland,9,Midtjylland,4,Danmark,1
980,8049,Horsens,41,Vestjylland,9,Midtjylland,4,Danmark,1
981,8354,Vesthimmerlands,95,Fyn,7,Syddanmark,3,Danmark,1
982,8970,Haderslev,31,Nordjylland,11,Nordjylland,5,Danmark,1
983,7785,Odense,67,Østjylland,10,Midtjylland,4,Danmark,1
984,8752,Ringkøbing-Skjern,71,Sydjylland,8,Syddanmark,3,Danmark,1
985,8525,Viborg,96,Sydjylland,8,Syddanmark,3,Danmark,1
986,7752,Faaborg-Midtfyn,15,Østjylland,10,Midtjylland,4,Danmark,1
987,8237,Norddjurs,62,Vestjylland,9,Midtjylland,4,Danmark,1
988,8956,Tønder,90,Nordjylland,11,Nordjylland,5,Danmark,1
989,8020,Silkeborg,77,Vestjylland,9,Midtjylland,4,Danmark,1
990,7227,Sorø,82,Københavns omegn,2,Hovedstaden,1,Danmark,1
991,7960,Hedensted,33,Vestjylland,9,Midtjylland,4,Danmark,1
992,8844,Lemvig,55,Sydjylland,8,Syddanmark,3,Danmark,1
993,8101,Aarhus,3,Vestjylland,9,Midtjylland,4,Danmark,1
994,7230,Sorø,82,Københavns omegn,2,Hovedstaden,1,Danmark,1
995,7661,Lolland,56,Københavns omegn,2,Hovedstaden,1,Danmark,1
996,8599,Silkeborg,77,Vestjylland,9,Midtjylland,4,Danmark,1
997,9071,Gladsaxe,26,Bornholm,4,Hovedstaden,1,Danmark,1
998,8361,Vesthimmerlands,95,Fyn,7,Syddanmark,3,Danmark,1
999,7736,Nyborg,64,Østjylland,10,Midtjylland,4,Danmark,1
1000,8898,Varde,92,Nordjylland,11,Nordjylland,5,Danmark,1
1001,7316,Slagelse,80,Københavns omegn,2,Hovedstaden,1,Danmark,1
1002,7222,Kalundborg,48,Københavns omegn,2,Hovedstaden,1,Danmark,1
1003,7645,Guldborgsund,30,Københavns omegn,2,Hovedstaden,1,Danmark,1
1004,8436,Frederikshavn,22,Fyn,7,Syddanmark,3,Danmark,1
1005,8571,Viborg,96,Sydjylland,8,Syddanmark,3,Danmark,1
1006,8206,Mariagerfjord,59,Fyn,7,Syddanmark,3,Danmark,1
1007,8809,Herning,36,Sydjylland,8,Syddanmark,3,Danmark,1
1008,8903,Esbjerg,14,Nordjylland,11,Nordjylland,5,Danmark,1
1009,8814,Holstebro,40,Sydjylland,8,Syddanmark,3,Danmark,1
1010,9154,Hillerød,37,Østsjælland,5,Sjælland,2,Danmark,1
1011,8996,Sønderborg,87,Nordjylland,11,Nordjylland,5,Danmark,1
1012,7925,Vejle,94,Nordjylland,11,Nordjylland,5,Danmark,1
1013,9103,Helsingør,34,Østsjælland,5,Sjælland,2,Danmark,1
1014,8457,Hjørring,38,Fyn,7,Syddanmark,3,Danmark,1
1015,7472,Næstved,65,Københavns omegn,2,Hovedstaden,1,Danmark,1
1016,7807,Assens,6,Østjylland,10,Midtjylland,4,Danmark,1
1017,8811,Herning,36,Sydjylland,8,Syddanmark,3,Danmark,1
1018,7318,Næstved,65,Københavns omegn,2,Hovedstaden,1,Danmark,1
1019,7337,Næstved,65,Københavns omegn,2,Hovedstaden,1,Danmark,1
1020,9267,Billund,8,Nordjylland,11,Nordjylland,5,Danmark,1
1021,7606,Guldborgsund,30,Københavns omegn,2,Hovedstaden,1,Danmark,1
1022,8207,Mariagerfjord,59,Fyn,7,Syddanmark,3,Danmark,1
1023,8690,Thisted,88,Fyn,7,Syddanmark,3,Danmark,1
1024,7858,Nordfyns,63,Østjylland,10,Midtjylland,4,Danmark,1
1025,7330,Næstved,65,Københavns omegn,2,Hovedstaden,1,Danmark,1
1026,8748,Herning,36,Sydjylland,8,Syddanmark,3,Danmark,1
1027,7943,Kolding,50,Nordjylland,11,Nordjylland,5,Danmark,1
1028,9127,Thisted,88,Fyn,7,Syddanmark,3,Danmark,1
1029,7515,Næstved,65,Københavns omegn,2,Hovedstaden,1,Danmark,1
1030,7124,Lyngby-Taarbæk,57,Bornholm,4,Hovedstaden,1,Danmark,1
1031,8977,Vejen,93,Nordjylland,11,Nordjylland,5,Danmark,1
1032,7975,Vejle,94,Nordjylland,11,Nordjylland,5,Danmark,1
1033,8593,Viborg,96,Sydjylland,8,Syddanmark,3,Danmark,1
1034,7922,Vejle,94,Nordjylland,11,Nordjylland,5,Danmark,1
1035,7377,Faxe,18,Københavns omegn,2,Hovedstaden,1,Danmark,1
1036,7434,Gribskov,29,Østsjælland,5,Sjælland,2,Danmark,1
1037,7195,Greve,28,Byen København,1,Hovedstaden,1,Danmark,1
1038,8853,Lemvig,55,Sydjylland,8,Syddanmark,3,Danmark,1
1039,8130,Aarhus,3,Vestjylland,9,Midtjylland,4,Danmark,1
1040,9048,Tønder,90,Nordjylland,11,Nordjylland,5,Danmark,1
1041,9279,Ringkøbing-Skjern,71,Sydjylland,8,Syddanmark,3,Danmark,1
1042,8254,Syddjurs,86,Vestjylland,9,Midtjylland,4,Danmark,1
1043,8232,Norddjurs,62,Vestjylland,9,Midtjylland,4,Danmark,1
1044,8171,Norddjurs,62,Vestjylland,9,Midtjylland,4,Danmark,1
1045,9013,Aabenraa,1,Nordjylland,11,Nordjylland,5,Danmark,1
1046,7755,Faaborg-Midtfyn,15,Østjylland,10,Midtjylland,4,Danmark,1
1047,9206,Holstebro,40,Sydjylland,8,Syddanmark,3,Danmark,1
1048,8837,Herning,36,Sydjylland,8,Syddanmark,3,Danmark,1
1049,8851,Lemvig,55,Sydjylland,8,Syddanmark,3,Danmark,1
1050,8529,Viborg,96,Sydjylland,8,Syddanmark,3,Danmark,1
1051,8610,Silkeborg,77,Vestjylland,9,Midtjylland,4,Danmark,1
1052,7218,Køge,52,Byen København,1,Hovedstaden,1,Danmark,1
1053,7857,Nordfyns,63,Østjylland,10,Midtjylland,4,Danmark,1
1054,8460,Hjørring,38,Fyn,7,Syddanmark,3,Danmark,1
1055,8768,Ringkøbing-Skjern,71,Sydjylland,8,Syddanmark,3,Danmark,1
1056,7550,Stevns,83,Københavns omegn,2,Hovedstaden,1,Danmark,1
1057,7519,Næstved,65,Københavns omegn,2,Hovedstaden,1,Danmark,1
1058,8305,Mariagerfjord,59,Fyn,7,Syddanmark,3,Danmark,1
1059,7429,Hillerød,37,Østsjælland,5,Sjælland,2,Danmark,1
1060,7989,Horsens,41,Vestjylland,9,Midtjylland,4,Danmark,1
1061,8461,Hjørring,38,Fyn,7,Syddanmark,3,Danmark,1
1062,9004,Sønderborg,87,Nordjylland,11,Nordjylland,5,Danmark,1
1063,7182,Lejre,54,Byen København,1,Hovedstaden,1,Danmark,1
1064,7586,Guldborgsund,30,Københavns omegn,2,Hovedstaden,1,Danmark,1
1065,7614,Guldborgsund,30,Københavns omegn,2,Hovedstaden,1,Danmark,1
1066,7896,Vejle,94,Nordjylland,11,Nordjylland,5,Danmark,1
1067,8405,Hjørring,38,Fyn,7,Syddanmark,3,Danmark,1
1068,8462,Hjørring,38,Fyn,7,Syddanmark,3,Danmark,1
1069,8562,Skive,79,Sydjylland,8,Syddanmark,3,Danmark,1
1070,8577,Skive,79,Sydjylland,8,Syddanmark,3,Danmark,1
1071,8633,Favrskov,17,Vestjylland,9,Midtjylland,4,Danmark,1
1072,8737,Thisted,88,Fyn,7,Syddanmark,3,Danmark,1
1073,8788,Ringkøbing-Skjern,71,Sydjylland,8,Syddanmark,3,Danmark,1
1074,8852,Lemvig,55,Sydjylland,8,Syddanmark,3,Danmark,1
1075,8794,Herning,36,Sydjylland,8,Syddanmark,3,Danmark,1
1076,8404,Hjørring,38,Fyn,7,Syddanmark,3,Danmark,1
1077,8559,Skive,79,Sydjylland,8,Syddanmark,3,Danmark,1
1078,8601,Silkeborg,77,Vestjylland,9,Midtjylland,4,Danmark,1
1079,7792,Odense,67,Østjylland,10,Midtjylland,4,Danmark,1
1080,7128,Rudersdal,74,Østsjælland,5,Sjælland,2,Danmark,1
1081,7204,Solrød,81,Byen København,1,Hovedstaden,1,Danmark,1
1082,7444,Fredensborg,19,Østsjælland,5,Sjælland,2,Danmark,1
1083,8564,Viborg,96,Sydjylland,8,Syddanmark,3,Danmark,1
1084,7848,Nordfyns,63,Østjylland,10,Midtjylland,4,Danmark,1
1085,8702,Morsø,61,Fyn,7,Syddanmark,3,Danmark,1
1086,9191,Mariagerfjord,59,Fyn,7,Syddanmark,3,Danmark,1
1087,7306,Næstved,65,Københavns omegn,2,Hovedstaden,1,Danmark,1
1088,8315,Mariagerfjord,59,Fyn,7,Syddanmark,3,Danmark,1
1089,7846,Odense,67,Østjylland,10,Midtjylland,4,Danmark,1
1090,8419,Brønderslev,11,Fyn,7,Syddanmark,3,Danmark,1
1091,7974,Ikast-Brande,45,Sydjylland,8,Syddanmark,3,Danmark,1
1092,8638,Viborg,96,Sydjylland,8,Syddanmark,3,Danmark,1
1093,8944,Billund,8,Nordjylland,11,Nordjylland,5,Danmark,1
1094,7314,Slagelse,80,Københavns omegn,2,Hovedstaden,1,Danmark,1
1095,8824,Struer,84,Sydjylland,8,Syddanmark,3,Danmark,1
1096,8812,Ikast-Brande,45,Sydjylland,8,Syddanmark,3,Danmark,1
1097,9270,Billund,8,Nordjylland,11,Nordjylland,5,Danmark,1
1098,7875,Kerteminde,49,Østjylland,10,Midtjylland,4,Danmark,1
1099,7384,Sorø,82,Københavns omegn,2,Hovedstaden,1,Danmark,1
1100,8378,Aalborg,2,Fyn,7,Syddanmark,3,Danmark,1
1101,8250,Aarhus,3,Vestjylland,9,Midtjylland,4,Danmark,1
1102,7516,Næstved,65,Københavns omegn,2,Hovedstaden,1,Danmark,1
1103,8636,Viborg,96,Sydjylland,8,Syddanmark,3,Danmark,1
1104,7733,Nyborg,64,Østjylland,10,Midtjylland,4,Danmark,1
1105,7681,Svendborg,85,Østjylland,10,Midtjylland,4,Danmark,1
1106,7816,Assens,6,Østjylland,10,Midtjylland,4,Danmark,1
1107,7862,Nordfyns,63,Østjylland,10,Midtjylland,4,Danmark,1
1108,8910,Varde,92,Nordjylland,11,Nordjylland,5,Danmark,1
1109,8512,Randers,69,Vestjylland,9,Midtjylland,4,Danmark,1
1110,7981,Billund,8,Nordjylland,11,Nordjylland,5,Danmark,1
1111,8608,Silkeborg,77,Vestjylland,9,Midtjylland,4,Danmark,1
1112,7877,Odense,67,Østjylland,10,Midtjylland,4,Danmark,1
1113,7194,Greve,28,Byen København,1,Hovedstaden,1,Danmark,1
1114,7753,Faaborg-Midtfyn,15,Østjylland,10,Midtjylland,4,Danmark,1
1115,8133,Randers,69,Vestjylland,9,Midtjylland,4,Danmark,1
1116,7808,Assens,6,Østjylland,10,Midtjylland,4,Danmark,1
1117,7818,Assens,6,Østjylland,10,Midtjylland,4,Danmark,1
1118,8914,Varde,92,Nordjylland,11,Nordjylland,5,Danmark,1
1119,8382,Aalborg,2,Fyn,7,Syddanmark,3,Danmark,1
1120,8666,Thisted,88,Fyn,7,Syddanmark,3,Danmark,1
1121,7442,Helsingør,34,Østsjælland,5,Sjælland,2,Danmark,1
1122,8800,Herning,36,Sydjylland,8,Syddanmark,3,Danmark,1
1123,7843,Nordfyns,63,Østjylland,10,Midtjylland,4,Danmark,1
