"Voksne 1. januar efter tid, alder, område og antal personer i husstand "

" "," "," ","1 person","2 personer","3 personer","4 personer","5 personer","6 personer og derover"
"2020"
" ","Under 20 år"
" "," ","Silkeborg",1635,2766,1644,783,301,315
" "," ","Skanderborg",586,983,795,485,149,153
" "," ","Syddjurs",362,664,581,337,140,278
" "," ","Aarhus",17769,39247,13995,5401,2127,3748
" "," ","Herning",2431,3517,1606,890,301,355
" "," ","Holstebro",1618,2199,1083,556,194,286
" "," ","Ikast-Brande",555,1098,706,438,137,211
" "," ","Lemvig",323,414,258,173,32,57
" "," ","Ringkøbing-Skjern",901,1361,888,548,217,231
" "," ","Skive",1132,1410,723,336,114,96
" "," ","Struer",343,487,325,161,49,67
" "," ","Viborg",2174,3107,1717,879,257,318
" "," ","Brønderslev",507,931,666,375,106,111
" "," ","Frederikshavn",1163,1519,885,482,137,123
" "," ","Hjørring",1264,2019,1047,617,193,184
" "," ","Jammerbugt",440,806,665,352,150,131
" "," ","Læsø",16,24,12,9,3,0
" "," ","Mariagerfjord",693,1021,772,442,95,149
" "," ","Morsø",315,542,311,181,53,37
" "," ","Rebild",252,693,550,274,85,75
" "," ","Thisted",781,1174,740,402,130,115
" "," ","Vesthimmerlands",542,970,613,334,152,134
" "," ","Aalborg",13179,19422,5609,2126,707,1046
" ","30-39 år"
" "," ","København",21960,34113,28369,21354,6705,5636
" "," ","Frederiksberg",2956,4820,4193,3050,756,401
" "," ","Dragør",80,155,331,470,172,91
" "," ","Tårnby",482,834,1100,1843,589,348
" "," ","Albertslund",445,451,632,904,480,331
" "," ","Ballerup",656,880,1267,1783,623,299
" "," ","Brøndby",460,679,978,1327,600,458
" "," ","Gentofte",926,1259,1526,2087,798,580
" "," ","Gladsaxe",1180,1601,2115,2695,980,427
" "," ","Glostrup",473,500,696,858,322,247
" "," ","Herlev",401,580,761,1219,418,142
" "," ","Hvidovre",826,1168,1567,2208,773,535
" "," ","Høje-Taastrup",739,1052,1363,1863,860,825
" "," ","Ishøj",294,425,622,899,550,415
" "," ","Lyngby-Taarbæk",917,1094,1246,1748,606,233
" "," ","Rødovre",716,974,1221,1692,576,359
" "," ","Vallensbæk",131,282,489,789,348,270
" "," ","Allerød",166,258,596,1075,331,116
" "," ","Egedal",217,526,1080,1848,572,335
" "," ","Fredensborg",338,558,962,1351,496,323
" "," ","Frederikssund",372,556,924,1290,575,327
" "," ","Furesø",270,473,895,1661,593,365
" "," ","Gribskov",208,420,733,1066,485,398
" "," ","Halsnæs",255,408,664,840,399,308
" "," ","Helsingør",708,854,1205,1822,663,411
" "," ","Hillerød",597,804,1198,1932,648,365
" "," ","Hørsholm",171,293,414,693,219,110
" "," ","Rudersdal",449,654,1173,1835,577,257
" "," ","Bornholm",535,521,726,910,480,183
" "," ","Christiansø",3,0,0,1,2,0
" "," ","Greve",330,695,1286,1967,684,486
" "," ","Køge",542,1045,1455,2225,705,524
" "," ","Lejre",149,313,599,1050,346,294
" "," ","Roskilde",1138,1374,1894,3054,1081,517
" "," ","Solrød",158,311,672,1008,301,107
" "," ","Faxe",369,616,862,1083,490,281
" "," ","Guldborgsund",905,1012,1270,1650,585,343
" "," ","Holbæk",895,1241,1538,2349,887,559
" "," ","Kalundborg",639,834,1007,1410,521,288
" "," ","Lolland",578,654,786,940,439,212
" "," ","Næstved",1241,1570,1927,2623,931,555
" "," ","Odsherred",320,398,619,756,325,207
" "," ","Ringsted",453,630,874,1279,416,346
" "," ","Slagelse",1188,1463,1850,2442,860,493
" "," ","Sorø",307,476,670,1010,380,189
" "," ","Stevns",184,333,499,735,248,187
" "," ","Vordingborg",531,701,843,1175,435,293
" "," ","Assens",443,656,888,1322,511,179
" "," ","Faaborg-Midtfyn",535,757,1114,1844,585,268
" "," ","Kerteminde",230,355,522,814,240,121
" "," ","Langeland",138,177,212,319,87,75
" "," ","Middelfart",408,544,814,1327,408,163
" "," ","Nordfyns",271,455,621,1020,354,182
" "," ","Nyborg",405,510,622,1076,365,125
" "," ","Odense",4223,4807,5140,6778,2239,1287
" "," ","Svendborg",812,934,1190,1881,648,338
" "," ","Ærø",53,63,70,110,44,26
" "," ","Billund",400,460,655,1007,350,133
" "," ","Esbjerg",2069,2016,2545,4054,1610,493
" "," ","Fanø",23,32,51,91,29,17
" "," ","Fredericia",941,1044,1117,1745,618,283
" "," ","Haderslev",886,940,1127,1755,720,335
" "," ","Kolding",1527,1879,2130,3471,1150,488
" "," ","Sønderborg",1189,1171,1391,2320,871,327
" "," ","Tønder",506,533,656,1225,528,232
" "," ","Varde",639,725,1016,1724,787,296
" "," ","Vejen",531,694,957,1525,685,316
" "," ","Vejle",1791,2341,2859,4438,1495,704
