,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80
2021-03-01,0,58,318,458,714,1285,1862,2794,1164
2021-03-02,0,58,318,458,714,1285,1862,2794,1164
2021-03-03,0,58,318,458,714,1285,1862,2794,1164
2021-03-04,0,58,318,458,714,1285,1862,2794,1164
2021-03-05,0,58,318,458,714,1285,1862,2794,1164
2021-03-06,0,58,318,458,714,1285,1862,2794,1164
2021-03-07,0,58,318,458,714,1285,1862,2794,1164
2021-03-08,0,24,132,190,296,533,773,1160,490
2021-03-09,0,24,132,190,296,533,773,1160,490
2021-03-10,0,24,132,190,296,533,773,1160,490
2021-03-11,0,24,132,190,296,533,773,1160,490
2021-03-12,0,24,132,190,296,533,773,1160,490
2021-03-13,0,24,132,190,296,533,773,1160,490
2021-03-14,0,24,132,190,296,533,773,1160,490
2021-03-15,0,0,0,0,0,0,0,0,6155
2021-03-16,0,0,0,0,0,0,0,0,6155
2021-03-17,0,0,0,0,0,0,0,0,6155
2021-03-18,0,0,0,0,0,0,0,0,6155
2021-03-19,0,0,0,0,0,0,0,0,6155
2021-03-20,0,0,0,0,0,0,0,0,6155
2021-03-21,0,0,0,0,0,0,0,0,6155
2021-03-22,0,0,0,0,0,0,0,0,4235
2021-03-23,0,0,0,0,0,0,0,0,4235
2021-03-24,0,0,0,0,0,0,0,0,4235
2021-03-25,0,0,0,0,0,0,0,0,4235
2021-03-26,0,0,0,0,0,0,0,0,4235
2021-03-27,0,0,0,0,0,0,0,0,4235
2021-03-28,0,0,0,0,0,0,0,0,4235
2021-03-29,0,0,0,0,0,0,0,2223,5980
2021-03-30,0,0,0,0,0,0,0,2223,5980
2021-03-31,0,0,0,0,0,0,0,2223,5980
2021-04-01,0,0,0,0,0,0,0,2223,5980
2021-04-02,0,0,0,0,0,0,0,2223,5980
2021-04-03,0,0,0,0,0,0,0,2223,5980
2021-04-04,0,0,0,0,0,0,0,2223,5980
2021-04-05,0,0,0,0,0,0,9138,20898,0
2021-04-06,0,0,0,0,0,0,9138,20898,0
2021-04-07,0,0,0,0,0,0,9138,20898,0
2021-04-08,0,0,0,0,0,0,9138,20898,0
2021-04-09,0,0,0,0,0,0,9138,20898,0
2021-04-10,0,0,0,0,0,0,9138,20898,0
2021-04-11,0,0,0,0,0,0,9138,20898,0
2021-04-12,0,0,0,0,0,0,14479,13776,0
2021-04-13,0,0,0,0,0,0,14479,13776,0
2021-04-14,0,0,0,0,0,0,14479,13776,0
2021-04-15,0,0,0,0,0,0,14479,13776,0
2021-04-16,0,0,0,0,0,0,14479,13776,0
2021-04-17,0,0,0,0,0,0,14479,13776,0
2021-04-18,0,0,0,0,0,0,14479,13776,0
2021-04-19,0,1498,3912,3482,3545,3836,5562,3796,30
2021-04-20,0,1498,3912,3482,3545,3836,5562,3796,30
2021-04-21,0,1498,3912,3482,3545,3836,5562,3796,30
2021-04-22,0,1498,3912,3482,3545,3836,5562,3796,30
2021-04-23,0,1498,3912,3482,3545,3836,5562,3796,30
2021-04-24,0,1498,3912,3482,3545,3836,5562,3796,30
2021-04-25,0,1498,3912,3482,3545,3836,5562,3796,30
2021-04-26,0,642,1676,1492,1519,1644,700,25,13
2021-04-27,0,642,1676,1492,1519,1644,700,25,13
2021-04-28,0,642,1676,1492,1519,1644,700,25,13
2021-04-29,0,642,1676,1492,1519,1644,700,25,13
2021-04-30,0,642,1676,1492,1519,1644,700,25,13
2021-05-01,0,642,1676,1492,1519,1644,700,25,13
2021-05-02,0,642,1676,1492,1519,1644,700,25,13
2021-05-03,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-04,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-05,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-06,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-07,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-08,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-09,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-10,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-11,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-12,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-13,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-14,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-15,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-16,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-17,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-18,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-19,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-20,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-21,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-22,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-23,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-24,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-25,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-26,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-27,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-28,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-29,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-30,0,3996,10412,9261,9423,10194,4286,0,0
2021-05-31,0,2841,7402,6584,6700,7248,3047,0,0
2021-06-01,0,2841,7402,6584,6700,7248,3047,0,0
2021-06-02,0,2841,7402,6584,6700,7248,3047,0,0
2021-06-03,0,2841,7402,6584,6700,7248,3047,0,0
2021-06-04,0,2841,7402,6584,6700,7248,3047,0,0
2021-06-05,0,2841,7402,6584,6700,7248,3047,0,0
2021-06-06,0,2841,7402,6584,6700,7248,3047,0,0
2021-06-07,0,0,0,0,0,0,0,0,0
2021-06-08,0,0,0,0,0,0,0,0,0
2021-06-09,0,0,0,0,0,0,0,0,0
2021-06-10,0,0,0,0,0,0,0,0,0
2021-06-11,0,0,0,0,0,0,0,0,0
2021-06-12,0,0,0,0,0,0,0,0,0
2021-06-13,0,0,0,0,0,0,0,0,0
2021-06-14,0,0,0,0,0,0,0,0,0
2021-06-15,0,0,0,0,0,0,0,0,0
2021-06-16,0,0,0,0,0,0,0,0,0
2021-06-17,0,0,0,0,0,0,0,0,0
2021-06-18,0,0,0,0,0,0,0,0,0
2021-06-19,0,0,0,0,0,0,0,0,0
2021-06-20,0,0,0,0,0,0,0,0,0
2021-06-21,0,0,0,0,0,0,0,0,0
2021-06-22,0,0,0,0,0,0,0,0,0
2021-06-23,0,0,0,0,0,0,0,0,0
2021-06-24,0,0,0,0,0,0,0,0,0
2021-06-25,0,0,0,0,0,0,0,0,0
2021-06-26,0,0,0,0,0,0,0,0,0
2021-06-27,0,0,0,0,0,0,0,0,0
2021-06-28,0,0,0,0,0,0,0,0,0
2021-06-29,0,0,0,0,0,0,0,0,0
2021-06-30,0,0,0,0,0,0,0,0,0
2021-07-01,0,0,0,0,0,0,0,0,0
2021-07-02,0,0,0,0,0,0,0,0,0
2021-07-03,0,0,0,0,0,0,0,0,0
2021-07-04,0,0,0,0,0,0,0,0,0
2021-07-05,0,0,0,0,0,0,0,0,0
2021-07-06,0,0,0,0,0,0,0,0,0
2021-07-07,0,0,0,0,0,0,0,0,0
2021-07-08,0,0,0,0,0,0,0,0,0
2021-07-09,0,0,0,0,0,0,0,0,0
2021-07-10,0,0,0,0,0,0,0,0,0
2021-07-11,0,0,0,0,0,0,0,0,0
2021-07-12,0,0,0,0,0,0,0,0,0
2021-07-13,0,0,0,0,0,0,0,0,0
2021-07-14,0,0,0,0,0,0,0,0,0
2021-07-15,0,0,0,0,0,0,0,0,0
2021-07-16,0,0,0,0,0,0,0,0,0
2021-07-17,0,0,0,0,0,0,0,0,0
2021-07-18,0,0,0,0,0,0,0,0,0
